"Metabolite","Comparison","W","p_value","Higher"
"Path1","W vs D",80,0.636950154335105,"W"
"Path2","W vs D",77,0.798745338656498,"D"
"Path3","W vs D",96,0.178182027959925,"W"
"Path4","W vs D",103,0.0780243447493414,"W"
"Path5","W vs D",75,0.885134680430472,"D"
"Path6","W vs D",93,0.241523787828809,"W"
"Path7","W vs D",61.5,0.373985849002745,"D"
"Path8","W vs D",90,0.318585170382182,"W"
"Path9","W vs D",90,0.318585170382182,"W"
"Path10","W vs D",78,0.359317338329571,"D"
"Path11","W vs D",80,0.6625861113437,"W"
"Path12","W vs D",95,0.197808114620606,"W"
"Path13","W vs D",85.5,0.371154895890766,"D"
"Path14","W vs D",90,0.318585170382182,"W"
"Path15","W vs D",99,0.127687899662593,"W"
"Path16","W vs D",98,0.143167775823584,"W"
"Path17","W vs D",96,0.178182027959925,"W"
"Path18","W vs D",88,0.37768531105454,"W"
"Path19","W vs D",85,0.406689417393082,"W"
"Path20","W vs D",67,0.798745338656498,"D"
"Path21","W vs D",91,0.291342659225281,"W"
"Path22","W vs D",87,0.409510398068751,"W"
"Path23","W vs D",91,0.291342659225281,"W"
"Path24","W vs D",64.5,0.680534595205075,"D"
"Path25","W vs D",67,0.756888281831839,"D"
"Path26","W vs D",89,0.347357918699957,"W"
"Path27","W vs D",95,0.197808114620606,"W"
"Path28","W vs D",98,0.143167775823584,"W"
"Path29","W vs D",95,0.197808114620606,"W"
"Path30","W vs D",88,0.37768531105454,"W"
"Path31","W vs D",98,0.143167775823584,"W"
"Path32","W vs D",63,0.629725504001988,"D"
"Path33","W vs D",91,0.291342659225281,"W"
"Path34","W vs D",72.5,1,"D"
"Path35","W vs D",61.5,0.56361806765653,"D"
"Path36","W vs D",78,0.359317338329571,"D"
"Path37","W vs D",72,1,"D"
"Path38","W vs D",97,0.159973019308058,"W"
"Path39","W vs D",72.5,1,"D"
"Path40","W vs D",89,0.347357918699957,"W"
"Path41","W vs D",89,0.347357918699957,"W"
"Path42","W vs D",83,0.551167166391288,"W"
"Path43","W vs D",84,0.485062562022296,"W"
"Path44","W vs D",84.5,0.286044781660782,"D"
"Path45","W vs D",75,0.879361261036862,"W"
"Path46","W vs D",77,0.65129104507884,"D"
"Path47","W vs D",79,0.712535075639127,"W"
"Path48","W vs D",103,0.0780243447493414,"W"
"Path49","W vs D",81,0.623302662725122,"W"
"Path50","W vs D",82,0.578700150132264,"W"
"Path51","W vs D",73,0.974899115511965,"D"
"Path52","W vs D",80,0.670659532955939,"W"
"Path53","W vs D",79,0.712535075639127,"W"
"Path54","W vs D",86,0.442833179742589,"W"
"Path55","W vs D",87,0.409510398068751,"W"
"Path56","W vs D",85,0.462194064543152,"W"
"Path57","W vs D",82,0.589875732021377,"W"
"Path58","W vs D",99,0.127687899662593,"W"
"Path59","W vs D",81,0.629725504001988,"W"
"Path60","W vs D",90,0.318585170382182,"W"
"Path61","W vs D",72.5,1,"W"
"Path62","W vs D",81,0.629725504001988,"W"
"Path63","W vs D",66,0.359317338329571,"D"
"Path64","W vs D",89,0.347357918699957,"W"
"Path65","W vs D",89,0.347357918699957,"W"
"Path66","W vs D",67,0.798745338656498,"D"
"Path67","W vs D",73,0.976950208875094,"D"
"Path68","W vs D",98,0.143167775823584,"W"
"Path69","W vs D",97,0.159973019308058,"W"
"Path70","W vs D",89,0.347357918699957,"W"
"Path71","W vs D",95,0.197808114620606,"W"
"Path72","W vs D",97,0.159973019308058,"W"
"Path73","W vs D",101,0.100530442770314,"W"
"Path74","W vs D",88,0.37768531105454,"W"
"Path75","W vs D",99,0.0568158662552002,"W"
"Path76","W vs D",93,0.241523787828809,"W"
"Path77","W vs D",90,0.318585170382182,"W"
"Path78","W vs D",88,0.352977399567895,"W"
"Path79","W vs D",61,0.551167166391288,"D"
"Path80","W vs D",92,0.208748983159229,"W"
"Path81","W vs D",78,0.359317338329571,"D"
"Path82","W vs D",101,0.100530442770314,"W"
"Path83","W vs D",96,0.163433805324401,"W"
"Path84","W vs D",81,0.623302662725122,"W"
"Path85","W vs D",101,0.100530442770314,"W"
"Path86","W vs D",99,0.127687899662593,"W"
"Path87","W vs D",90,0.318585170382182,"W"
"Path88","W vs D",104,0.0683614406861143,"W"
"Path89","W vs D",85.5,0.371154895890766,"D"
"Path90","W vs D",83,0.551167166391288,"W"
"Path91","W vs D",86,0.442833179742589,"W"
"Path92","W vs D",83,0.551167166391288,"W"
"Path93","W vs D",78,0.755284828242158,"D"
"Path94","W vs D",76,0.831724331569105,"W"
"Path95","W vs D",86,0.442833179742589,"W"
"Path96","W vs D",92,0.26566958415121,"W"
"Path97","W vs D",89,0.347357918699957,"W"
"Path98","W vs D",78,0.359317338329571,"D"
"Path99","W vs D",61,0.539390201467856,"D"
"Path100","W vs D",85,0.420371172846,"W"
"Path101","W vs D",78,0.75062213675182,"W"
"Path102","W vs D",75,0.88738593483512,"W"
"Path103","W vs D",73,0.977402191293698,"D"
"Path104","W vs D",74,0.932300503373326,"D"
"Path105","W vs D",57,0.409510398068751,"D"
"Path106","W vs D",96,0.178182027959925,"W"
"Path107","W vs D",91,0.291342659225281,"W"
"Path108","W vs D",78,0.755284828242158,"W"
"Path109","W vs D",73,0.974899115511965,"D"
"Path110","W vs D",74,0.932300503373326,"W"
"Path111","W vs D",77,0.784697815674144,"W"
"Path112","W vs D",101,0.0585186172199654,"W"
"Path113","W vs D",91,0.291342659225281,"W"
"Path114","W vs D",101,0.100530442770314,"W"
"Path115","W vs D",95,0.197808114620606,"W"
"Path116","W vs D",97,0.159973019308058,"W"
"Path117","W vs D",91,0.291342659225281,"W"
"Path118","W vs D",56,0.370740303356746,"D"
"Path119","W vs D",77,0.798745338656498,"W"
"Path120","W vs D",93,0.241523787828809,"W"
"Path121","W vs D",78,0.755284828242158,"W"
"Path122","W vs D",79.5,0.686041334132903,"W"
"Path123","W vs D",66,0.729260553731611,"D"
"Path124","W vs D",88,0.37768531105454,"W"
"Path125","W vs D",78,0.359317338329571,"D"
"Path126","W vs D",59,0.477575258232143,"D"
"Path127","W vs D",95,0.197808114620606,"W"
"Path128","W vs D",97,0.159973019308058,"W"
"Path129","W vs D",68,0.842835990231333,"W"
"Path130","W vs D",89,0.338669719616063,"W"
"Path131","W vs D",73.5,0.950803053106422,"D"
"Path132","W vs D",62.5,0.603253001855345,"D"
"Path133","W vs D",58,0.435331129063292,"D"
"Path134","W vs D",54,0.318585170382182,"D"
"Path135","W vs D",54.5,0.326243281615241,"D"
"Path136","W vs D",80,0.670659532955939,"W"
"Path137","W vs D",89,0.347357918699957,"W"
"Path138","W vs D",91,0.291342659225281,"W"
"Path139","W vs D",78,0.359317338329571,"D"
"Path140","W vs D",92,0.26566958415121,"W"
"Path141","W vs D",89.5,0.294237048455268,"W"
"Path142","W vs D",65,0.712535075639127,"D"
"Path143","W vs D",63,0.60582051180597,"D"
"Path144","W vs D",96,0.178182027959925,"W"
"Path145","W vs D",87,0.297315321660589,"D"
"Path146","W vs D",73,0.964544428953171,"D"
"Path147","W vs D",66,0.359317338329571,"D"
"Path148","W vs D",78,0.359317338329571,"D"
"Path149","W vs D",76,0.825675375460426,"D"
"Path150","W vs D",85,0.477575258232143,"W"
"Path151","W vs D",72,1,"W"
"Path152","W vs D",85,0.467077467146436,"D"
"Path153","W vs D",72,1,"W"
"Path154","W vs D",97,0.156851708776227,"W"
"Path155","W vs D",60,0.166224591128354,"D"
"Path156","W vs D",97,0.159973019308058,"W"
"Path157","W vs D",75,0.88738593483512,"D"
"Path158","W vs D",77,0.794968589163486,"W"
"Path159","W vs D",92,0.26566958415121,"W"
"Path160","W vs D",75,0.874990750368516,"W"
"Path161","W vs D",79,0.712535075639127,"D"
"Path162","W vs D",64,0.670659532955939,"D"
"Path163","W vs D",70,0.932300503373326,"D"
"Path164","W vs D",87,0.409510398068751,"W"
"Path165","W vs D",89,0.340358371306122,"W"
"Path166","W vs D",94,0.218920801906399,"W"
"Path167","W vs D",72.5,1,"D"
"Path168","W vs D",74.5,0.879352267002179,"D"
"Path169","W vs D",89,0.347357918699957,"W"
"Path170","W vs D",96,0.178182027959925,"W"
"Path171","W vs D",89,0.347357918699957,"W"
"Path172","W vs D",61,0.529213447611524,"D"
"Path173","W vs D",65,0.699890664502701,"D"
"Path174","W vs D",65,0.513856433533076,"D"
"Path175","W vs D",78,0.359317338329571,"D"
"Path176","W vs D",89,0.347357918699957,"W"
"Path177","W vs D",99,0.127687899662593,"W"
"Path178","W vs D",78,0.580669526385976,"D"
"Path179","W vs D",90,0.318585170382182,"W"
"Path180","W vs D",89,0.316468567613962,"W"
"Path181","W vs D",79,0.712535075639127,"W"
"Path182","W vs D",87,0.409510398068751,"W"
"Path183","W vs D",88,0.368754236897688,"W"
"Path184","W vs D",89,0.337075352842437,"W"
"Path185","W vs D",86,0.384169444038901,"W"
"Path186","W vs D",87,0.409510398068751,"W"
"Path187","W vs D",66,0.359317338329571,"D"
"Path188","W vs D",91,0.291342659225281,"W"
"Path189","W vs D",83,0.551167166391288,"W"
"Path190","W vs D",93,0.241523787828809,"W"
"Path191","W vs D",84,0.513722581093694,"W"
"Path192","W vs D",94,0.139125689185682,"W"
"Path193","W vs D",86,0.442833179742589,"W"
"Path194","W vs D",80,0.661109089588366,"W"
"Path195","W vs D",72,1,"D"
"Path196","W vs D",71,0.974899115511965,"D"
"Path197","W vs D",80,0.661109089588366,"W"
"Path198","W vs D",70,0.92068727401145,"D"
"Path199","W vs D",64,0.648866853114626,"D"
"Path200","W vs D",81,0.629725504001988,"W"
"Path201","W vs D",92,0.26566958415121,"W"
"Path202","W vs D",72,1,"D"
"Path203","W vs D",72,1,"D"
"Path204","W vs D",66,0.359317338329571,"D"
"Path205","W vs D",98,0.143167775823584,"W"
"Path206","W vs D",80,0.670659532955939,"W"
"Path207","W vs D",93,0.241523787828809,"W"
"Path208","W vs D",91.5,0.241089205659503,"W"
"Path209","W vs D",69,0.88738593483512,"D"
"Path210","W vs D",78,0.580669526385976,"D"
"Path211","W vs D",59,0.470389916763457,"D"
"Path212","W vs D",96.5,0.0685332249973287,"D"
"Path213","W vs D",63,0.629725504001988,"D"
"Path214","W vs D",92,0.195532668453184,"W"
"Path215","W vs D",98,0.079391499053565,"W"
"Path216","W vs D",96,0.118783709145061,"W"
"Path217","W vs D",99,0.0683002193625142,"W"
"Path218","W vs D",89,0.179790679486554,"D"
"Path219","W vs D",84,0.513722581093694,"W"
"Path220","W vs D",89,0.179790679486554,"D"
"Path221","W vs D",98,0.079391499053565,"W"
"Path222","W vs D",98,0.079391499053565,"W"
"Path223","W vs D",66,0.359317338329571,"D"
"Path224","W vs D",89,0.179790679486554,"D"
"Path225","W vs D",93,0.173588562918527,"W"
"Path226","W vs D",93,0.173588562918527,"W"
"Path227","W vs D",93,0.173588562918527,"W"
"Path228","W vs D",85,0.477575258232143,"W"
"Path229","W vs D",107,0.0449019952990878,"W"
"Path230","W vs D",109,0.0332414254207228,"W"
"Path231","W vs D",93,0.241523787828809,"W"
"Path232","W vs D",78,0.580669526385976,"D"
"Path233","W vs D",87,0.378687016563243,"W"
"Path234","W vs D",94,0.218920801906399,"W"
"Path235","W vs D",85,0.477575258232143,"W"
"Path236","W vs D",89,0.347357918699957,"W"
"Path237","W vs D",75,0.885134680430472,"D"
"Path238","W vs D",67,0.65129104507884,"D"
"Path239","W vs D",67,0.65129104507884,"D"
"Path240","W vs D",67,0.65129104507884,"D"
"Path241","W vs D",67,0.65129104507884,"D"
"Path242","W vs D",97,0.159973019308058,"W"
"Path243","W vs D",98,0.143167775823584,"W"
"Path244","W vs D",101,0.100530442770314,"W"
"Path245","W vs D",101,0.100530442770314,"W"
"Path246","W vs D",96,0.178182027959925,"W"
"Path247","W vs D",99,0.127687899662593,"W"
"Path248","W vs D",89,0.347357918699957,"W"
"Path249","W vs D",102,0.0887337860685552,"W"
"Path250","W vs D",97,0.159973019308058,"W"
"Path251","W vs D",72,1,"D"
"Path252","W vs D",87,0.409510398068751,"W"
"Path253","W vs D",89,0.347357918699957,"W"
"Path254","W vs D",67,0.65129104507884,"D"
"Path255","W vs D",88.5,0.337663615900088,"W"
"Path256","W vs D",112,0.0191570995619852,"W"
"Path257","W vs D",97.5,0.148826321503113,"W"
"Path258","W vs D",104,0.0683614406861143,"W"
"Path259","W vs D",89,0.235637834380318,"D"
"Path260","W vs D",78,0.359317338329571,"D"
"Path261","W vs D",87,0.409510398068751,"W"
"Path262","W vs D",98,0.143167775823584,"W"
"Path263","W vs D",89,0.347357918699957,"W"
"Path264","W vs D",78,0.580669526385976,"D"
"Path265","W vs D",78,0.580669526385976,"D"
"Path266","W vs D",88,0.37768531105454,"W"
"Path267","W vs D",90,0.318585170382182,"W"
"Path268","W vs D",81,0.629725504001988,"W"
"Path269","W vs D",77,0.765165830277374,"D"
"Path270","W vs D",96,0.0366874429478183,"D"
"Path271","W vs D",77,0.765165830277374,"D"
"Path272","W vs D",102,0.0887337860685552,"W"
"Path273","W vs D",85,0.477575258232143,"W"
"Path274","W vs D",86,0.395580283384749,"W"
"Path275","W vs D",94.5,0.187390260118482,"W"
"Path276","W vs D",78,0.580669526385976,"D"
"Path277","W vs D",91,0.291342659225281,"W"
"Path278","W vs D",53,0.291342659225281,"D"
"Path279","W vs D",96,0.178182027959925,"W"
"Path280","W vs D",92,0.26566958415121,"W"
"Path281","W vs D",97,0.159973019308058,"W"
"Path282","W vs D",68,0.801375448956916,"D"
"Path283","W vs D",65,0.513856433533076,"D"
"Path284","W vs D",73,0.964544428953171,"D"
"Path285","W vs D",106,0.052065972799874,"W"
"Path286","W vs D",72.5,1,"D"
"Path287","W vs D",94,0.208863641169182,"W"
"Path288","W vs D",67,0.714487222557683,"D"
"Path289","W vs D",68,0.829031220727544,"W"
"Path290","W vs D",66,0.359317338329571,"D"
"Path291","W vs D",102,0.0887337860685552,"W"
"Path292","W vs D",66,0.755284828242158,"D"
"Path293","W vs D",98,0.143167775823584,"W"
"Path294","W vs D",79.5,0.651819911718392,"D"
"Path295","W vs D",66,0.750779496851824,"D"
"Path296","W vs D",87,0.409510398068751,"W"
"Path297","W vs D",90,0.288030145413474,"W"
"Path298","W vs D",74.5,0.879352267002179,"D"
"Path299","W vs D",85,0.468546375243466,"D"
"Path300","W vs D",64,0.670659532955939,"D"
"Path301","W vs D",65.5,0.724152442093159,"D"
"Path302","W vs D",81,0.619306534963182,"W"
"Path303","W vs D",85,0.431508969036575,"W"
"Path304","W vs D",66,0.359317338329571,"D"
"Path305","W vs D",91,0.291342659225281,"W"
"Path306","W vs D",83,0.508769977521556,"W"
"Path307","W vs D",94,0.218920801906399,"W"
"Path308","W vs D",95,0.197808114620606,"W"
"Path309","W vs D",84,0.485062562022296,"W"
"Path310","W vs D",92,0.26566958415121,"W"
"Path311","W vs D",94,0.218920801906399,"W"
"Path312","W vs D",90,0.318585170382182,"W"
"Path313","W vs D",61,0.551167166391288,"D"
"Path314","W vs D",73,0.976950208875094,"D"
"Path315","W vs D",96,0.178182027959925,"W"
"Path316","W vs D",95,0.197808114620606,"W"
"Path317","W vs D",78,0.359317338329571,"D"
"Path318","W vs D",66,0.359317338329571,"D"
"Path319","W vs D",72.5,1,"D"
"Path320","W vs D",98,0.079391499053565,"W"
"Path321","W vs D",84.5,0.488327760174263,"W"
"Path322","W vs D",74,0.926263032416079,"W"
"Path323","W vs D",89,0.347357918699957,"W"
"Path324","W vs D",82,0.557785244330932,"W"
"Path325","W vs D",81,0.62284796592314,"W"
"Path326","W vs D",60,0.513722581093694,"D"
"Path327","W vs D",78,0.359317338329571,"D"
"Path328","W vs D",63,0.629725504001988,"D"
"Path329","W vs D",93,0.224096569936073,"W"
"Path330","W vs D",78,0.654778838699894,"D"
"Path331","W vs D",89,0.347357918699957,"W"
"Path332","W vs D",85,0.477575258232143,"W"
"Path333","W vs D",90,0.318585170382182,"W"
"Path334","W vs D",76,0.809728459914703,"D"
"Path335","W vs D",81.5,0.60054666711542,"W"
"Path336","W vs D",91,0.291342659225281,"W"
"Path337","W vs D",87,0.409510398068751,"W"
"Path338","W vs D",78,0.359317338329571,"D"
"Path339","W vs D",66,0.359317338329571,"D"
"Path340","W vs D",75.5,0.84665621523396,"D"
"Path341","W vs D",126,0.00111458066768337,"W"
"Path342","W vs D",79,0.513856433533076,"D"
"Path343","W vs D",71.5,1,"D"
"Path344","W vs D",74,0.932300503373326,"W"
"Path345","W vs D",78,0.359317338329571,"D"
"Path346","W vs D",95.5,0.180855352169694,"W"
"Path347","W vs D",76.5,0.815980722636972,"W"
"Path348","W vs D",78,0.359317338329571,"D"
"Path349","W vs D",72.5,1,"D"
"Path350","W vs D",74,0.91781228387795,"D"
"Path351","W vs D",70.5,0.953605734742842,"D"
"Path352","W vs D",99,0.127687899662593,"W"
"Path353","W vs D",60,0.166224591128354,"D"
"Path354","W vs D",89,0.347357918699957,"W"
"Path355","W vs D",66,0.580669526385976,"D"
"Path356","W vs D",89,0.347357918699957,"W"
"Path357","W vs D",86,0.395580283384749,"W"
"Path358","W vs D",78,0.749777821611193,"W"
"Path359","W vs D",70,0.932300503373326,"W"
"Path360","W vs D",86,0.442833179742589,"W"
"Path361","W vs D",92,0.26566958415121,"W"
"Path362","W vs D",86,0.442833179742589,"W"
"Path363","W vs D",62,0.540279177759353,"D"
"Path364","W vs D",67.5,0.815980722636972,"D"
"Path365","W vs D",88.5,0.337663615900088,"W"
"Path366","W vs D",66,0.750779496851824,"D"
"Path367","W vs D",63.5,0.631656992010406,"D"
"Path368","W vs D",78,0.359317338329571,"D"
"Path369","W vs D",78,0.359317338329571,"D"
"Path370","W vs D",95,0.197808114620606,"W"
"Path371","W vs D",90,0.318585170382182,"W"
"Path372","W vs D",113,0.0172711929341355,"W"
"Path373","W vs D",91,0.272597065002829,"W"
"Path374","W vs D",74,0.929694940624413,"D"
"Path375","W vs D",91,0.291342659225281,"W"
"Path376","W vs D",99,0.127687899662593,"W"
"Path377","W vs D",63.5,0.631656992010406,"D"
"Path378","W vs D",71,0.974899115511965,"W"
"Path379","W vs D",66,0.359317338329571,"D"
"Path380","W vs D",94,0.218920801906399,"W"
"Path381","W vs D",95,0.197808114620606,"W"
"Path382","W vs D",94,0.218920801906399,"W"
"Path383","W vs D",95,0.197808114620606,"W"
"Path384","W vs D",100,0.113502327528441,"W"
"Path385","W vs D",78,0.580669526385976,"D"
"Path386","W vs D",98,0.143167775823584,"W"
"Path387","W vs D",84,0.513722581093694,"W"
"Path388","W vs D",94,0.218920801906399,"W"
"Path389","W vs D",106,0.0518646113611789,"W"
"Path390","W vs D",78,0.359317338329571,"D"
"Path391","W vs D",99,0.127687899662593,"W"
"Path392","W vs D",105,0.0596570612050488,"W"
"Path393","W vs D",97,0.152129732154252,"W"
"Path394","W vs D",102,0.0846529455780832,"W"
"Path395","W vs D",68,0.842835990231333,"D"
"Path396","W vs D",85,0.477575258232143,"W"
"Path397","W vs D",91,0.219444815247841,"W"
"Path398","W vs D",78,0.359317338329571,"D"
"Path399","W vs D",71,0.972560877515493,"D"
"Path400","W vs D",84,0.166224591128354,"D"
"Path401","W vs D",74,0.932300503373326,"W"
"Path402","W vs D",91,0.291342659225281,"W"
"Path403","W vs D",82.5,0.560705491674816,"W"
"Path404","W vs D",82.5,0.560705491674816,"W"
"Path405","W vs D",82,0.564101508740836,"W"
"Path406","W vs D",74.5,0.879352267002179,"D"
"Path407","W vs D",98,0.143167775823584,"W"
"Path408","W vs D",61.5,0.373985849002745,"D"
"Path409","W vs D",81,0.629725504001988,"W"
"Path410","W vs D",86,0.442833179742589,"W"
"Path411","W vs D",73,0.977402191293698,"W"
"Path412","W vs D",90,0.308611722377198,"W"
"Path413","W vs D",88,0.239444868352014,"D"
"Path414","W vs D",93,0.241523787828809,"W"
"Path415","W vs D",66,0.359317338329571,"D"
"Path416","W vs D",72.5,1,"D"
"Path417","W vs D",83.5,0.497339461096224,"W"
"Path418","W vs D",66,0.359317338329571,"D"
"Path419","W vs D",73,0.976950208875094,"D"
"Path420","W vs D",57,0.378687016563243,"D"
"Path421","W vs D",97,0.159973019308058,"W"
"Path422","W vs D",71.5,1,"D"
"Path423","W vs D",78,0.359317338329571,"D"
"Path424","W vs D",80,0.66362940080618,"W"
"Path425","W vs D",77,0.765165830277374,"D"
"Path426","W vs D",110,0.0128030627020491,"W"
"Path427","W vs D",87,0.33580303138078,"W"
"Path428","W vs D",95,0.197808114620606,"W"
"Path429","W vs D",87,0.297315321660589,"D"
"Path430","W vs D",42,0.0887337860685552,"D"
"Path431","W vs D",78,0.359317338329571,"D"
"Path432","W vs D",92,0.26566958415121,"W"
"Path433","W vs D",89,0.347357918699957,"W"
"Path434","W vs D",122,0.00291403306613968,"W"
"Path435","W vs D",78,0.359317338329571,"D"
"Path436","W vs D",78,0.359317338329571,"D"
"Path437","W vs D",52,0.26566958415121,"D"
"Path438","W vs D",83,0.551167166391288,"W"
"Path439","W vs D",96,0.0366874429478183,"D"
"Path440","W vs D",86,0.305559002929365,"D"
"Path441","W vs D",99,0.127687899662593,"W"
"Path442","W vs D",99,0.127687899662593,"W"
"Path443","W vs D",92,0.112900304782481,"D"
"Path444","W vs D",80,0.648866853114626,"W"
"Path445","W vs D",78,0.715049610182639,"D"
"Path446","W vs D",93,0.241523787828809,"W"
"Path447","W vs D",77,0.798745338656498,"W"
"Path448","W vs D",90,0.318585170382182,"W"
"Path449","W vs D",66,0.359317338329571,"D"
"Path450","W vs D",66,0.359317338329571,"D"
"Path451","W vs D",83.5,0.328106340687351,"D"
"Path452","W vs D",78,0.359317338329571,"D"
"Path453","W vs D",84,0.513722581093694,"W"
"Path454","W vs D",96,0.178182027959925,"W"
"Path455","W vs D",96,0.178182027959925,"W"
"Path456","W vs D",76,0.842835990231333,"W"
"Path457","W vs D",81,0.629725504001988,"W"
"Path458","W vs D",59,0.477575258232143,"D"
"Path459","W vs D",89,0.347357918699957,"W"
"Path460","W vs D",96,0.178182027959925,"W"
"Path461","W vs D",78,0.359317338329571,"D"
"Path462","W vs D",83.5,0.328106340687351,"D"
"Path463","W vs D",62,0.569164331879862,"D"
"Path464","W vs D",36,0.00705410240068292,"D"
"Path465","W vs D",95,0.197808114620606,"W"
"Path466","W vs D",78,0.359317338329571,"D"
"Path467","W vs D",78,0.359317338329571,"D"
"Path468","W vs D",78,0.359317338329571,"D"
"Path469","W vs D",88,0.37768531105454,"W"
"Path470","W vs D",61.5,0.560705491674816,"D"
"Path471","W vs D",55.5,0.351920663762392,"D"
"Path472","W vs D",87,0.409510398068751,"W"
"Path473","W vs D",66,0.729260553731611,"D"
"Path474","W vs D",66,0.729260553731611,"D"
"Path475","W vs D",65,0.513856433533076,"D"
"Path476","W vs D",88,0.37768531105454,"W"
"Path477","W vs D",98,0.143167775823584,"W"
"Path478","W vs D",104,0.0683614406861143,"W"
"Path479","W vs D",85,0.477575258232143,"W"
"Path480","W vs D",80,0.670659532955939,"W"
"Path481","W vs D",89,0.347357918699957,"W"
"Path482","W vs D",70,0.930457623000567,"W"
"Path483","W vs D",89,0.347357918699957,"W"
"Path484","W vs D",87,0.409510398068751,"W"
"Path485","W vs D",95,0.197808114620606,"W"
"Path486","W vs D",92,0.26566958415121,"W"
"Path487","W vs D",68,0.83916868672949,"D"
"Path488","W vs D",67,0.65129104507884,"D"
"Path489","W vs D",72.5,1,"D"
"Path490","W vs D",88,0.37768531105454,"W"
"Path491","W vs D",97,0.159973019308058,"W"
"Path492","W vs D",80,0.648866853114626,"W"
"Path493","W vs D",85,0.477575258232143,"W"
"Path494","W vs D",103,0.0780243447493414,"W"
"Path495","W vs D",87,0.398892292560775,"W"
"Path496","W vs D",78,0.580669526385976,"D"
"Path497","W vs D",85,0.477575258232143,"W"
"Path498","W vs D",84,0.166224591128354,"D"
"Path499","W vs D",101,0.100530442770314,"W"
"Path500","W vs D",69,0.863450809299265,"D"
"Path501","W vs D",93,0.241523787828809,"W"
"Path502","W vs D",88,0.37768531105454,"W"
"Path503","W vs D",91,0.291342659225281,"W"
"Path504","W vs D",106.5,0.0193369725358358,"W"
"Path505","W vs D",86,0.442833179742589,"W"
"Path506","W vs D",74,0.932300503373326,"W"
"Path507","W vs D",94,0.218920801906399,"W"
"Path508","W vs D",94,0.218920801906399,"W"
"Path509","W vs D",76.5,0.810564414649182,"W"
"Path510","W vs D",84,0.38277498577742,"D"
"Path511","W vs D",95,0.182101455239755,"W"
"Path512","W vs D",67,0.798745338656498,"D"
"Path513","W vs D",96,0.0366874429478183,"D"
"Path514","W vs D",78,0.755284828242158,"W"
"Path515","W vs D",85,0.477575258232143,"W"
"Path516","W vs D",94,0.218920801906399,"W"
"Path517","W vs D",87,0.409510398068751,"W"
"Path518","W vs D",88,0.37768531105454,"W"
"Path519","W vs D",99,0.127687899662593,"W"
"Path520","W vs D",72.5,1,"D"
"Path521","W vs D",77,0.714487222557683,"D"
"Path522","W vs D",77,0.798745338656498,"W"
"Path523","W vs D",106,0.0518646113611789,"W"
"Path524","W vs D",69,0.863450809299265,"D"
"Path525","W vs D",88,0.37768531105454,"W"
"Path526","W vs D",89,0.347357918699957,"W"
"Path527","W vs D",110,0.0284206976224744,"W"
"Path528","W vs D",69,0.879361261036862,"W"
"Path529","W vs D",94,0.218920801906399,"W"
"Path530","W vs D",96,0.178182027959925,"W"
"Path531","W vs D",91,0.291342659225281,"W"
"Path532","W vs D",61.5,0.373985849002745,"D"
"Path533","W vs D",95,0.197808114620606,"W"
"Path534","W vs D",105,0.0596570612050488,"W"
"Path535","W vs D",106,0.0518646113611789,"W"
"Path536","W vs D",86,0.432206298335208,"W"
"Path537","W vs D",91,0.272597065002829,"W"
"Path538","W vs D",78,0.359317338329571,"D"
"Path539","W vs D",96,0.178182027959925,"W"
"Path540","W vs D",100,0.113502327528441,"W"
"Path541","W vs D",91,0.291342659225281,"W"
"Path542","W vs D",86.5,0.418822285120497,"W"
"Path543","W vs D",101,0.100530442770314,"W"
"Path544","W vs D",92,0.26566958415121,"W"
"Path545","W vs D",80,0.670659532955939,"W"
"Path546","W vs D",90,0.318585170382182,"W"
"Path547","W vs D",83.5,0.328106340687351,"D"
"Path548","W vs D",93,0.241523787828809,"W"
